ECA1637,ECA2115,ECA2373,ECA2299,ECA1657,ECA1443,ECA1170,ECA1129,ECA1439,ECA1429
151,134,133,143,128,147,182,155,122,136
114,199,124,137,178,167,166,105,124,140
149,164,114,151,116,162,178,172,134,129
132,168,158,156,160,118,158,135,117,92
120,152,149,136,136,137,173,149,151,110
169,159,150,153,248,181,135,195,177,106
194,147,191,151,206,150,171,222,242,121
178,151,171,135,238,189,167,223,222,135
68,175,158,150,194,159,142,207,223,121
142,186,166,207,210,172,194,274,221,147
,,,196,,,,248,,
